day;cases
1;27
2;27
3;27
4;44
5;44
6;59
7;59
8;59
9;59
10;59
11;59
12;59
13;59
14;60
15;60
16;61
17;61
18;66
19;83
20;219
21;239
22;392
23;534
24;631
25;897
26;1350
27;2023
28;2820
29;4587
30;6067
31;7823
32;9824
33;11946
34;14554
35;17372
36;20615
37;24523
38;28274
39;31492
40;34934
41;37552
42;40544
43;43106
44;45178
45;60329
46;64544
47;67104
48;69266
49;71333
50;73328
51;75192
52;75724
53;76720
54;77805
55;78814
56;79337
57;80130
58;80997
59;82110
60;83376
61;85228
62;87059
63;89149
64;91001
65;93305
66;95642
67;98705
68;102791
69;106796
70;110961
71;115723
72;120832
73;128632
74;138137
75;148540
76;160787
77;173251
78;187437
79;204403
80;224593
81;255694
82;287572
83;321831
84;356195
85;400544
86;442880
87;496536
88;557585
89;622598
90;685472
91;742866
92;807232
93;881841
94;959291
95;1036685
96;1118475
97;1203965
98;1270296
99;1343227
100;1420131
101;1505142
102;1592398
103;1682096
104;1757455
105;1825915
106;1890662
107;1967120
108;2045347
109;2129260
110;2210965
111;2290684
112;2361401
113;2435060
114;2521468
115;2587798
116;2666248
117;2739018
118;2839105
119;2920961
120;2986523
121;3058592
122;3137334
123;3222829
124;3311606
125;3392469
126;3469664
127;3545984
128;3624487
129;3711956
130;3804341
131;3893642
132;3982682
133;4057603
134;4127155
135;4213080
136;4299401
137;4395987
138;4493175
139;4586431
140;4666037
141;4752243
142;4847556
143;4950728
144;5058700
145;5164578
146;5264726
147;5358073
148;5446635
149;5540164
150;5642928
151;5761458
152;5883528
153;6011806
154;6118690
155;6218602
156;6330735
157;6456103
158;6583036
159;6716118
160;6842480
161;6957630
162;7063038
163;7188019
164;7322385
165;7458680
166;7603268
167;7736986
168;7858810
169;7977042
170;8117988
171;8294607
172;8433020
173;8613619
174;8774450
175;8904028
176;9037788
177;9201173
178;9375784
179;9554941
180;9743688
181;9926164
182;10086712
183;10244564
184;10436573
185;10637070
186;10845692
187;11051210
188;11242629
189;11420984
190;11595343
191;11802260
192;12017527
193;12242905
194;12474334
195;12692421
196;12888128
197;13076510
198;13300061
199;13531788
200;13786198
201;14040614
202;14270893
203;14480425
204;14681169
205;14920860
206;15202422
207;15478793
208;15762674
209;16022423
210;16254369
211;16466259
212;16709852
213;17007941
214;17298366
215;17577239
216;17844822
217;18068830
218;18273367
219;18528873
220;18806195
221;19092405
222;19368313
223;19636943
224;19866477
225;20086377
226;20347477
227;20636577
228;20923528
229;21212689
230;21472436
231;21704807
232;21901190
233;22156098
234;22437231
235;22713395
236;22967098
237;23233874
238;23458531
239;23669734
240;23924758
241;24201451
242;24484592
243;24760720
244;25029408
